gene,probe,log2FC,fold_change,p_value,p_adj,status
MAGED1,209014_at,0.7078853895510235,1.6334082159978882,2.1345337643551043e-11,2.4279640567189786e-10,Up
HMGB3P1,216548_x_at,0.707682714019354,1.6331787644391207,1.2027000105657426e-15,2.6696606850922383e-14,Up
RND1,210056_at,-0.7067365815439857,0.6127045280870816,0.00011129583419849606,0.0003839017141555863,Down
H2AFJ,220936_s_at,-0.7063088552828996,0.6128862079724556,1.467889765146012e-16,3.746733979009002e-15,Down
B3GNT3,204856_at,0.7062125549042939,1.6315153431169653,3.0108146179758813e-16,7.300324497536079e-15,Up
STX11,210190_at,-0.7050429748226561,0.6134242157495631,3.45802762366394e-19,1.3494786258862271e-17,Down
METTL1,204027_s_at,0.7046965465235715,1.6298018196224553,8.260691109822568e-12,1.0020303756133712e-10,Up
PSENEN,218302_at,0.7046138214894473,1.6297083684481528,9.725110083785173e-08,5.82382768064996e-07,Up
FCGRT,218831_s_at,-0.7041877407287132,0.6137879633315433,4.877427807776385e-13,7.2698143037244936e-12,Down
SATB1,203408_s_at,-0.7034776791755846,0.6140901301040651,4.737898356310577e-14,8.260922462728372e-13,Down
CLEC1A,219761_at,-0.7031794468370904,0.6142170872648435,1.0390744608517352e-23,7.327119054164309e-22,Down
FAT1,201579_at,0.7029626598831804,1.6278442374108857,1.0423703215017034e-07,6.205487008822458e-07,Up
MCM7,210983_s_at,0.7022115300379967,1.6269969314249608,9.316882337577151e-10,7.966542176831607e-09,Up
CDCP1,218451_at,0.7021391147839546,1.626915267292288,1.782978715586062e-10,1.7326696345139215e-09,Up
CYR61,201289_at,-0.7015534444950742,0.6149097363783697,1.6727478521287517e-05,6.702722601867465e-05,Down
RTN1,210222_s_at,-0.7013177584725536,0.6150101993760291,2.8103368452461564e-14,5.0299386283229e-13,Down
TFAP2C,205286_at,0.7012531411562346,1.6259164688763357,2.5003137875288606e-13,3.896118330594797e-12,Up
CKAP4,200999_s_at,0.701244682961299,1.625906936523524,1.1308134155776126e-11,1.3417420308474943e-10,Up
NFE2L3,204702_s_at,0.7008484057709365,1.6254603963099397,9.025411299055734e-12,1.0888643203944716e-10,Up
KIAA0355,203288_at,-0.7002213831083726,0.6154777537012721,6.165550967273628e-10,5.4174673581923595e-09,Down
PDIA3,208612_at,0.6995365655696766,1.623983039655729,8.640216678986705e-12,1.0452223032457153e-10,Up
C1GALT1,219439_at,0.6988671942818456,1.6232297304347294,1.564272410144816e-13,2.5052707792659574e-12,Up
AGTPBP1,204500_s_at,-0.6982573268912722,0.6163162234321415,1.3055394454027138e-18,4.58131267116672e-17,Down
TWF1,201745_at,0.697823373776215,1.622055714010692,1.233726665159081e-09,1.0342788291850942e-08,Up
CYP2B7P,210272_at,-0.6977094498771983,0.6165503197633744,2.4248707504686817e-05,9.42169048521249e-05,Down
GARS,208693_s_at,0.6968290007287123,1.620938102379274,1.81740109179493e-15,3.8974789401361554e-14,Up
PSMB3,201400_at,0.6967367757216714,1.6208344864066495,1.8190450557562277e-15,3.8974789401361554e-14,Up
STON1,213413_at,-0.6966654667667092,0.6169966379724126,1.3367558752800882e-18,4.6687979888505026e-17,Down
FAM69A,213689_x_at,0.6963596962005623,1.6204109016513382,4.531244107717772e-15,9.104572809041939e-14,Up
ERBB2,216836_s_at,0.6962787192107669,1.6203199522054137,1.0007819191432998e-09,8.514861971848092e-09,Up
INHBB,205258_at,0.6955830112040804,1.6195387768527658,0.0001449869017939949,0.0004896549155313107,Up
PLBD1,218454_at,-0.6954260246787438,0.6175269372873345,7.622399554278388e-08,4.647056888316971e-07,Down
S100A3,206027_at,-0.6948352474479194,0.6177798636162449,1.548317031436527e-10,1.5198743793612393e-09,Down
ZNF322,219376_at,0.6940664977206179,1.617837265504885,5.829359577655527e-07,3.0306957412248743e-06,Up
